Opción del menú	Depende de	Guardia	2º jefe	Jefe turno	Jefe contrato	Admin
Inicio	—	✓	✓	✓	✓	✓
Control de acceso	—	✓	✓	✓	—	—
Mi perfil	—	✓	✓	✓	✓	✓
Mis reportes	—	✓	✓	✓	—	—
↳ Ver mis reportes	Mis reportes	✓	✓	✓	—	—
Mis documentos	—	✓	✓	✓	—	—
↳ Ver mis documentos	Mis documentos	✓	✓	✓	—	—
Rondas QR	—	✓	✓	✓	—	—
Reportes y estadísticas	—	—	—	✓	✓	✓
↳ Todos los reportes	Reportes y estadísticas	—	—	✓	✓	✓
↳ Reporte escaneos QR	Reportes y estadísticas	—	—	✓	✓	✓
↳ Reporte por sucursal	Reportes y estadísticas	—	✓	✓	✓	✓
↳ Reportes diarios	Reportes y estadísticas	—	—	—	—	✓
Supervisión	—	—	—	✓	✓	✓
↳ Usuarios	Supervisión	—	—	—	—	✓
↳ Aprobar documentos	Supervisión	—	—	✓	✓	✓
↳ Novedades	Supervisión	—	—	✓	✓	✓
↳ Todos los reportes	Supervisión	—	—	✓	✓	✓
Gestión	—	—	—	—	—	✓
↳ Dispositivos	Gestión	—	—	—	—	✓
↳ Ubicaciones	Gestión	—	—	—	—	✓
↳ Sectores	Gestión	—	—	—	—	✓
↳ Puntos de ronda (QR)	Gestión	—	—	—	—	✓
Cerrar sesión	—	✓	✓	✓	✓	✓
